VTX, IDX, POSITION.x, POSITION.y, POSITION.z, NORMAL.x, NORMAL.y, NORMAL.z, TANGENT.x, TANGENT.y, TANGENT.z, TANGENT.w, TEXCOORD0.x, TEXCOORD0.y, TEXCOORD1.x, TEXCOORD1.y, TEXCOORD2.x, TEXCOORD2.y
358, 87,  0.56345,  2.02963, -0.16766,  0.876,  0.338,  0.34407, -0.20075, -0.39313,  0.8973, -1.00,  0.65411,  0.51625,  0.65411,  0.51625,  0.65411,  0.51625
359, 81,  0.54646,  2.02401, -0.05393,  0.92749,  0.3688,  0.06126,  0.10865, -0.42271,  0.89973, -1.00,  0.6656,  0.52106,  0.6656,  0.52106,  0.6656,  0.52106
360, 85,  0.49861,  1.80807,  0.20371,  0.85594, -0.51068, -0.08104, -0.20379, -0.47721,  0.85483, -1.00,  0.70397,  0.51299,  0.70397,  0.51299,  0.70397,  0.51299
361, 88,  0.49669,  1.76752,  0.02839,  0.91203, -0.36962,  0.17771, -0.33296, -0.41434,  0.84703, -1.00,  0.68937,  0.49976,  0.68937,  0.49976,  0.68937,  0.49976
362, 80,  0.54017,  1.88049, -0.00628,  0.97106, -0.23682,  0.03084, -0.14268, -0.47177,  0.8701, -1.00,  0.67853,  0.5096,  0.67853,  0.5096,  0.67853,  0.5096
363, 88,  0.49669,  1.76752,  0.02839,  0.91203, -0.36962,  0.17771, -0.33296, -0.41434,  0.84703, -1.00,  0.68937,  0.49976,  0.68937,  0.49976,  0.68937,  0.49976
364, 85,  0.49861,  1.80807,  0.20371,  0.85594, -0.51068, -0.08104, -0.20379, -0.47721,  0.85483, -1.00,  0.70397,  0.51299,  0.70397,  0.51299,  0.70397,  0.51299
365, 84,  0.45564,  1.70721,  0.08304,  0.92319, -0.35091,  0.15678, -0.29972, -0.40195,  0.86522, -1.00,  0.69954,  0.49611,  0.69954,  0.49611,  0.69954,  0.49611
366, 88,  0.49669,  1.76752,  0.02839,  0.91203, -0.36962,  0.17771, -0.33296, -0.41434,  0.84703, -1.00,  0.68937,  0.49976,  0.68937,  0.49976,  0.68937,  0.49976
367, 86,  0.55736,  1.88386, -0.11729,  0.94669, -0.07697,  0.3128, -0.31374, -0.44054,  0.84113, -1.00,  0.66688,  0.504,  0.66688,  0.504,  0.66688,  0.504
368, 80,  0.54017,  1.88049, -0.00628,  0.97106, -0.23682,  0.03084, -0.14268, -0.47177,  0.8701, -1.00,  0.67853,  0.5096,  0.67853,  0.5096,  0.67853,  0.5096
369, 89,  0.71079,  1.98702, -0.40733,  0.97982,  0.07758,  0.1842, -0.12813, -0.46348,  0.8768, -1.00,  0.627,  0.49879,  0.627,  0.49879,  0.627,  0.49879
370, 87,  0.56345,  2.02963, -0.16766,  0.876,  0.338,  0.34407, -0.20075, -0.39313,  0.8973, -1.00,  0.65411,  0.51625,  0.65411,  0.51625,  0.65411,  0.51625
371, 86,  0.55736,  1.88386, -0.11729,  0.94669, -0.07697,  0.3128, -0.31374, -0.44054,  0.84113, -1.00,  0.66688,  0.504,  0.66688,  0.504,  0.66688,  0.504
372, 89,  0.71079,  1.98702, -0.40733,  0.97982,  0.07758,  0.1842, -0.12813, -0.46348,  0.8768, -1.00,  0.627,  0.49879,  0.627,  0.49879,  0.627,  0.49879
373, 90,  0.69219,  2.05171, -0.42691,  0.36487,  0.93055,  0.03063,  0.177, -0.10163,  0.97895, -1.00,  0.62204,  0.50496,  0.62204,  0.50496,  0.62204,  0.50496
374, 87,  0.56345,  2.02963, -0.16766,  0.876,  0.338,  0.34407, -0.20075, -0.39313,  0.8973, -1.00,  0.65411,  0.51625,  0.65411,  0.51625,  0.65411,  0.51625
375, 88,  0.49669,  1.76752,  0.02839,  0.91203, -0.36962,  0.17771, -0.33296, -0.41434,  0.84703, -1.00,  0.68937,  0.49976,  0.68937,  0.49976,  0.68937,  0.49976
376, 91,  0.50329,  1.6953, -0.06294,  0.8727, -0.24087,  0.4247, -0.48768, -0.38818,  0.78197, -1.00,  0.68344,  0.48796,  0.68344,  0.48796,  0.68344,  0.48796
377, 86,  0.55736,  1.88386, -0.11729,  0.94669, -0.07697,  0.3128, -0.31374, -0.44054,  0.84113, -1.00,  0.66688,  0.504,  0.66688,  0.504,  0.66688,  0.504
378, 89,  0.71079,  1.98702, -0.40733,  0.97982,  0.07758,  0.1842, -0.12813, -0.46348,  0.8768, -1.00,  0.627,  0.49879,  0.627,  0.49879,  0.627,  0.49879
379, 86,  0.55736,  1.88386, -0.11729,  0.94669, -0.07697,  0.3128, -0.31374, -0.44054,  0.84113, -1.00,  0.66688,  0.504,  0.66688,  0.504,  0.66688,  0.504
380, 91,  0.50329,  1.6953, -0.06294,  0.8727, -0.24087,  0.4247, -0.48768, -0.38818,  0.78197, -1.00,  0.68344,  0.48796,  0.68344,  0.48796,  0.68344,  0.48796
381, 88,  0.49669,  1.76752,  0.02839,  0.91203, -0.36962,  0.17771, -0.33296, -0.41434,  0.84703, -1.00,  0.68937,  0.49976,  0.68937,  0.49976,  0.68937,  0.49976
382, 92,  0.4724,  1.67715, -0.02644,  0.85771, -0.30304,  0.41533, -0.50518, -0.34667,  0.79032, -1.00,  0.6896,  0.48783,  0.6896,  0.48783,  0.6896,  0.48783
383, 91,  0.50329,  1.6953, -0.06294,  0.8727, -0.24087,  0.4247, -0.48768, -0.38818,  0.78197, -1.00,  0.68344,  0.48796,  0.68344,  0.48796,  0.68344,  0.48796
384, 88,  0.49669,  1.76752,  0.02839,  0.91203, -0.36962,  0.17771, -0.33296, -0.41434,  0.84703, -1.00,  0.68937,  0.49976,  0.68937,  0.49976,  0.68937,  0.49976
385, 84,  0.45564,  1.70721,  0.08304,  0.92319, -0.35091,  0.15678, -0.29972, -0.40195,  0.86522, -1.00,  0.69954,  0.49611,  0.69954,  0.49611,  0.69954,  0.49611
386, 93,  0.47005,  1.72417,  0.044,  0.89216, -0.40384,  0.2024, -0.36637, -0.38478,  0.84718, -1.00,  0.69445,  0.49604,  0.69445,  0.49604,  0.69445,  0.49604
